5.30000
   1   0   0
  Station:  ALBIA IA                                       CLIGEN VER. 5.30000 -r:    0 -I: 0
 Latitude Longitude Elevation (m) Obs. Years   Beginning year  Years simulated Command Line:
    41.03   -92.80         286          45           1               1          -istations/ia/Ia130112.par -oOUT.TXT -y1 -t5 -F -b1 -H 
 Observed monthly ave max temperature (C)
   0.0   3.1   9.1  17.3  23.4  28.2  30.7  29.4  25.3  19.2   9.8   2.2
 Observed monthly ave min temperature (C)
  -8.8  -6.8  -2.0   4.9  10.8  15.9  18.5  17.2  12.5   6.5  -0.6  -6.5
 Observed monthly ave solar radiation (Langleys/day)
 175.0 254.0 330.0 411.0 492.0 549.0 524.0 475.0 387.0 286.0 196.0 147.0
 Observed monthly ave precipitation (mm)
  26.4  28.0  59.4  85.9 107.5 111.9 117.7  93.7 104.8  61.4  58.8  33.5
 da mo year  prcp  dur   tp     ip  tmax  tmin  rad  w-vl w-dir  tdew
             (mm)  (h)               (C)   (C) (l/d) (m/s)(Deg)   (C)
 13  7    1   6.0  1.19 0.00   2.56  31.0  20.1 504.  3.0  267.  19.2
 14  7    1   0.0  0.00 0.00   0.00  31.9  20.4 408.  2.1   91.  20.9
 15  7    1   0.0  0.00 0.00   0.00  30.4  18.2 675.  5.9  334.  15.9
 16  7    1   3.6  0.82 0.86   3.14  23.5  13.3 517.  1.4  261.  13.5
 17  7    1   3.4  0.88 0.08   1.01  30.7  19.5 726.  4.7  134.  18.6
 18  7    1   3.5  2.15 0.02   4.17  35.9  23.6 534.  1.6  209.  23.3
 19  7    1  28.3  2.15 0.05   2.40  23.6  12.1 303.  1.8  100.  11.0
 20  7    1   5.6  1.82 0.00   5.48  30.2  19.3 383.  3.0  145.  19.9
 21  7    1   0.0  0.00 0.00   0.00  29.6  16.4 649.  4.7  355.  18.0
 22  7    1   0.0  0.00 0.00   0.00  28.2  14.1 582.  0.0    0.  12.6
 23  7    1   0.0  0.00 0.00   0.00  33.5  21.7 385.  4.3  277.  22.0
 24  7    1   0.0  0.00 0.00   0.00  36.1  25.1 363.  4.1   24.  24.8
 25  7    1   0.0  0.00 0.00   0.00  25.1  11.1 348.  4.5  339.  11.6
 26  7    1   0.0  0.00 0.00   0.00  29.5  17.4 396.  3.4   49.  17.4
 27  7    1   0.0  0.00 0.00   0.00  31.9  18.7 660.  4.4   51.  19.3
 28  7    1   0.0  0.00 0.00   0.00  34.5  22.5 497.  4.8  210.  22.0
 29  7    1  15.5  2.18 0.18   3.27  26.2  12.9 634.  5.8  325.  13.9
 30  7    1   0.0  0.00 0.00   0.00  27.4  15.2 660.  3.9  167.  14.0
